YEAR,STATE,STATECODE,COUNTY,COUNTYCODE,AREANAME,AVERAGEVALUE
1910,Texas,480,Burnet,530,Burnet,12
1910,Texas,480,Caldwell,550,Caldwell,46
1910,Texas,480,Calhoun,570,Calhoun,25
1910,Texas,480,Callahan,590,Callahan,18
1910,Texas,480,Cameron,610,Cameron,14
1910,Texas,480,Camp,630,Camp,16
1910,Texas,480,Carson,650,Carson,13
1910,Texas,480,Cass,670,Cass,11
1910,Texas,480,Castro,690,Castro,20
1910,Texas,480,Chambers,710,Chambers,15
1910,Texas,480,Cherokee,730,Cherokee,17
1910,Texas,480,Childress,750,Childress,19
1910,Texas,480,Clay,770,Clay,22
1910,Texas,480,Cochran,790,Cochran,10
1910,Texas,480,Coke,810,Coke,10
1910,Texas,480,Coleman,830,Coleman,23
1910,Texas,480,Collin,850,Collin,58
1910,Texas,480,Collingsworth,870,Collingsworth,15
1910,Texas,480,Colorado,890,Colorado,20
1910,Texas,480,Comal,910,Comal,18
1910,Texas,480,Comanche,930,Comanche,26
1910,Texas,480,Concho,950,Concho,12
1910,Texas,480,Cooke,970,Cooke,31
1910,Texas,480,Coryell,990,Coryell,22
1910,Texas,480,Cottle,1010,Cottle,11
1910,Texas,480,Crane,1030,Crane,5
1910,Texas,480,Crockett,1050,Crockett,3
1910,Texas,480,Crosby,1070,Crosby,12
1910,Texas,480,Dallam,1110,Dallam,16
1910,Texas,480,Dallas,1130,Dallas,67
1910,Texas,480,Dawson,1150,Dawson,13
1910,Texas,480,Deaf Smith,1170,Deaf Smith,23
1910,Texas,480,Delta,1190,Delta,41
1910,Texas,480,Denton,1210,Denton,39
1910,Texas,480,DeWitt,1230,De Witt,30
1910,Texas,480,Dickens,1250,Dickens,6
1910,Texas,480,Dimmit,1270,Dimmit,7
1910,Texas,480,Donley,1290,Donley,11
1910,Texas,480,Duval,1310,Duval,5
1910,Texas,480,Eastland,1330,Eastland,20
1910,Texas,480,Ector,1350,Ector,7
1910,Texas,480,Edwards,1370,Edwards,3
1910,Texas,480,Ellis,1390,Ellis,67
1910,Texas,480,El Paso,1410,El Paso,4
1910,Texas,480,Erath,1430,Erath,22
1910,Texas,480,Falls,1450,Falls,51
1910,Texas,480,Fannin,1470,Fannin,39
1910,Texas,480,Fayette,1490,Fayette,24
1910,Texas,480,Fisher,1510,Fisher,20
1910,Texas,480,Floyd,1530,Floyd,21
1910,Texas,480,Foard,1550,Foard,19
1910,Texas,480,Fort Bend,1570,Fort Bend,34
1910,Texas,480,Franklin,1590,Franklin,16
1910,Texas,480,Freestone,1610,Freestone,13
1910,Texas,480,Frio,1630,Frio,24
1910,Texas,480,Gaines,1650,Gaines,8
1910,Texas,480,Galveston,1670,Galveston,92
1910,Texas,480,Garza,1690,Garza,5
1910,Texas,480,Gillespie,1710,Gillespie,13
1910,Texas,480,Glasscock,1730,Glasscock,11
1910,Texas,480,Goliad,1750,Goliad,18
1910,Texas,480,Gonzales,1770,Gonzales,24
1910,Texas,480,Gray,1790,Gray,14
1910,Texas,480,Grayson,1810,Grayson,43
1910,Texas,480,Gregg,1830,Gregg,14
1910,Texas,480,Grimes,1850,Grimes,13
1910,Texas,480,Guadalupe,1870,Guadalupe,47
1910,Texas,480,Hale,1890,Hale,26
1910,Texas,480,Hall,1910,Hall,15
1910,Texas,480,Hamilton,1930,Hamilton,21
1910,Texas,480,Hansford,1950,Hansford,12
1910,Texas,480,Hardeman,1970,Hardeman,23
1910,Texas,480,Hardin,1990,Hardin,16
1910,Texas,480,Harris,2010,Harris,38
1910,Texas,480,Harrison,2030,Harrison,12
1910,Texas,480,Hartley,2050,Hartley,8
1910,Texas,480,Haskell,2070,Haskell,27
1910,Texas,480,Hays,2090,Hays,26
1910,Texas,480,Hemphill,2110,Hemphill,11
1910,Texas,480,Henderson,2130,Henderson,13
1910,Texas,480,Hidalgo,2150,Hidalgo,15
1910,Texas,480,Hill,2170,Hill,56
1910,Texas,480,Hockley,2190,Hockley,11
1910,Texas,480,Hood,2210,Hood,23
1910,Texas,480,Hopkins,2230,Hopkins,20
1910,Texas,480,Houston,2250,Houston,11
1910,Texas,480,Howard,2270,Howard,12
1910,Texas,480,Hunt,2310,Hunt,41
1910,Texas,480,Hutchinson,2330,Hutchinson,7
1910,Texas,480,Irion,2350,Irion,7
1910,Texas,480,Jack,2370,Jack,13
1910,Texas,480,Jackson,2390,Jackson,14
1910,Texas,480,Jasper,2410,Jasper,13
1910,Texas,480,Jeff Davis,2430,Jeff Davis,3
1910,Texas,480,Jefferson,2450,Jefferson,27
1910,Texas,480,Johnson,2510,Johnson,43
1910,Texas,480,Jones,2530,Jones,30
1910,Texas,480,Karnes,2550,Karnes,26
1910,Texas,480,Kaufman,2570,Kaufman,33
1910,Texas,480,Kendall,2590,Kendall,10
1910,Texas,480,Kent,2630,Kent,10
1910,Texas,480,Kerr,2650,Kerr,6
1910,Texas,480,Kimble,2670,Kimble,6
1910,Texas,480,King,2690,King,5
1910,Texas,480,Kinney,2710,Kinney,5
1910,Texas,480,Knox,2750,Knox,17
1910,Texas,480,Lamar,2770,Lamar,32
1910,Texas,480,Lamb,2790,Lamb,8
1910,Texas,480,Lampasas,2810,Lampasas,12
1910,Texas,480,La Salle,2830,La Salle,9
1910,Texas,480,Lavaca,2850,Lavaca,28
1910,Texas,480,Lee,2870,Lee,12
1910,Texas,480,Leon,2890,Leon,10
1910,Texas,480,Liberty,2910,Liberty,14
1910,Texas,480,Limestone,2930,Limestone,36
1910,Texas,480,Lipscomb,2950,Lipscomb,13
1910,Texas,480,Live Oak,2970,Live Oak,11
1910,Texas,480,Llano,2990,Llano,9
1910,Texas,480,Loving,3010,Loving,6
1910,Texas,480,Lubbock,3030,Lubbock,18
1910,Texas,480,Lynn,3050,Lynn,12
1910,Texas,480,McCulloch,3070,Mcculloch,24
1910,Texas,480,McLennan,3090,Mclennan,54
1910,Texas,480,McMullen,3110,Mcmullen,6
1910,Texas,480,Madison,3130,Madison,11
1910,Texas,480,Marion,3150,Marion,11
1910,Texas,480,Martin,3170,Martin,10
1910,Texas,480,Mason,3190,Mason,10
1910,Texas,480,Matagorda,3210,Matagorda,31
1910,Texas,480,Maverick,3230,Maverick,4
1910,Texas,480,Medina,3250,Medina,14
1910,Texas,480,Menard,3270,Menard,7
1910,Texas,480,Midland,3290,Midland,9
1910,Texas,480,Milam,3310,Milam,30
1910,Texas,480,Mills,3330,Mills,14
1910,Texas,480,Mitchell,3350,Mitchell,13
1910,Texas,480,Montague,3370,Montague,18
1910,Texas,480,Montgomery,3390,Montgomery,11
1910,Texas,480,Moore,3410,Moore,13
1910,Texas,480,Morris,3430,Morris,14
1910,Texas,480,Motley,3450,Motley,8
1910,Texas,480,Nacogdoches,3470,Nacogdoches,12
1910,Texas,480,Navarro,3490,Navarro,38
1910,Texas,480,Newton,3510,Newton,10
1910,Texas,480,Nolan,3530,Nolan,16
1910,Texas,480,Nueces,3550,Nueces,12
1910,Texas,480,Ochiltree,3570,Ochiltree,14
1910,Texas,480,Oldham,3590,Oldham,5
1910,Texas,480,Orange,3610,Orange,22
1910,Texas,480,Palo Pinto,3630,Palo Pinto,17
1910,Texas,480,Panola,3650,Panola,9
1910,Texas,480,Parker,3670,Parker,21
1910,Texas,480,Parmer,3690,Parmer,16
1910,Texas,480,Pecos,3710,Pecos,2
1910,Texas,480,Polk,3730,Polk,8
1910,Texas,480,Potter,3750,Potter,8
1910,Texas,480,Presidio,3770,Presidio,2
1910,Texas,480,Rains,3790,Rains,16
1910,Texas,480,Randall,3810,Randall,25
1910,Texas,480,Reagan,3830,Reagan,6
1910,Texas,480,Red River,3870,Red River,19
1910,Texas,480,Reeves,3890,Reeves,6
1910,Texas,480,Refugio,3910,Refugio,20
1910,Texas,480,Roberts,3930,Roberts,7
1910,Texas,480,Robertson,3950,Robertson,19
1910,Texas,480,Rockwall,3970,Rockwall,64
1910,Texas,480,Runnels,3990,Runnels,25
1910,Texas,480,Rusk,4010,Rusk,10
1910,Texas,480,Sabine,4030,Sabine,10
1910,Texas,480,San Augustine,4050,San Augustine,10
1910,Texas,480,San Jacinto,4070,San Jacinto,9
1910,Texas,480,San Patricio,4090,San Patricio,12
1910,Texas,480,San Saba,4110,San Saba,13
1910,Texas,480,Schleicher,4130,Schleicher,6
1910,Texas,480,Scurry,4150,Scurry,18
1910,Texas,480,Shackelford,4170,Shackelford,14
1910,Texas,480,Shelby,4190,Shelby,11
1910,Texas,480,Sherman,4210,Sherman,13
1910,Texas,480,Smith,4230,Smith,15
1910,Texas,480,Somervell,4250,Somervell,17
1910,Texas,480,Starr,4270,Starr,5
1910,Texas,480,Stephens,4290,Stephens,12
1910,Texas,480,Sterling,4310,Sterling,8
1910,Texas,480,Stonewall,4330,Stonewall,12
1910,Texas,480,Sutton,4350,Sutton,5
1910,Texas,480,Swisher,4370,Swisher,23
1910,Texas,480,Tarrant,4390,Tarrant,49
1910,Texas,480,Taylor,4410,Taylor,26
1910,Texas,480,Terrell,4430,Terrell,3
1910,Texas,480,Terry,4450,Terry,9
1910,Texas,480,Throckmorton,4470,Throckmorton,12
1910,Texas,480,Titus,4490,Titus,14
1910,Texas,480,Tom Green,4510,Tom Green,12
1910,Texas,480,Travis,4530,Travis,44
1910,Texas,480,Trinity,4550,Trinity,10
1910,Texas,480,Tyler,4570,Tyler,8
1910,Texas,480,Upshur,4590,Upshur,11
1910,Texas,480,Upton,4610,Upton,5
1910,Texas,480,Uvalde,4630,Uvalde,9
1910,Texas,480,Val Verde,4650,Val Verde,3
1910,Texas,480,Van Zandt,4670,Van Zandt,15
1910,Texas,480,Victoria,4690,Victoria,29
1910,Texas,480,Walker,4710,Walker,10
1910,Texas,480,Waller,4730,Waller,20
1910,Texas,480,Ward,4750,Ward,9
1910,Texas,480,Washington,4770,Washington,26
1910,Texas,480,Webb,4790,Webb,5
1910,Texas,480,Wharton,4810,Wharton,40
1910,Texas,480,Wheeler,4830,Wheeler,13
1910,Texas,480,Wichita,4850,Wichita,31
1910,Texas,480,Wilbarger,4870,Wilbarger,26
1910,Texas,480,Williamson,4910,Williamson,57
1910,Texas,480,Wilson,4930,Wilson,20
1910,Texas,480,Winkler,4950,Winkler,5
1910,Texas,480,Wise,4970,Wise,22
1910,Texas,480,Wood,4990,Wood,13
1910,Texas,480,Yoakum,5010,Yoakum,7
1910,Texas,480,Young,5030,Young,21
1910,Texas,480,Zapata,5050,Zapata,5
1910,Texas,480,Zavala,5070,Zavala,7
1910,Utah,490,Beaver,10,Beaver,29
1910,Utah,490,Box Elder,30,Box Elder,32
1910,Utah,490,Cache,50,Cache,45
1910,Utah,490,Carbon,70,Carbon,17
1910,Utah,490,Davis,110,Davis,75
1910,Utah,490,Emery,150,Emery,31
1910,Utah,490,Garfield,170,Garfield,15
1910,Utah,490,Grand,190,Grand,21
1910,Utah,490,Iron,210,Iron,14
1910,Utah,490,Juab,230,Juab,21
1910,Utah,490,Kane,250,Kane,17
1910,Utah,490,Millard,270,Millard,22
1910,Utah,490,Morgan,290,Morgan,15
1910,Utah,490,Piute,310,Piute,28
1910,Utah,490,Rich,330,Rich,11
1910,Utah,490,Salt Lake,350,Salt Lake,93
1910,Utah,490,San Juan,370,San Juan,13
1910,Utah,490,Sanpete,390,Sanpete,24
1910,Utah,490,Sevier,410,Sevier,37
1910,Utah,490,Summit,430,Summit,9
1910,Utah,490,Tooele,450,Tooele,31
1910,Utah,490,Uintah,470,Uintah,31
1910,Utah,490,Utah,490,Utah,68
1910,Utah,490,Wasatch,510,Wasatch,21
1910,Utah,490,Washington,530,Washington,23
1910,Utah,490,Wayne,550,Wayne,17
1910,Utah,490,Weber,570,Weber,61
1910,Washington,530,Adams,10,Adams,27
1910,Washington,530,Asotin,30,Asotin,29
1910,Washington,530,Benton,50,Benton,51
1910,Washington,530,Chehalis,55,Grays Harbor,54
1910,Washington,530,Chelan,70,Chelan,157
1910,Washington,530,Clallam,90,Clallam,51
1910,Washington,530,Clark,110,Clark,83
1910,Washington,530,Columbia,130,Columbia,42
1910,Washington,530,Cowlitz,150,Cowlitz,39
1910,Washington,530,Douglas,170,Douglas,28
1910,Washington,530,Ferry,190,Ferry,21
1910,Washington,530,Franklin,210,Franklin,19
1910,Washington,530,Garfield,230,Garfield,31
1910,Washington,530,Grant,250,Grant,26
1910,Washington,530,Island,290,Island,73
1910,Washington,530,Jefferson,310,Jefferson,53
1910,Washington,530,King,330,King,220
1910,Washington,530,Kitsap,350,Kitsap,106
1910,Washington,530,Kittitas,370,Kittitas,49
1910,Washington,530,Klickitat,390,Klikatat,28
1910,Washington,530,Lewis,410,Lewis,52
1910,Washington,530,Lincoln,430,Lincoln,31
1910,Washington,530,Mason,450,Mason,43
1910,Washington,530,Okanogan,470,Okanogan,35
1910,Washington,530,Pacific,490,Pacific,46
1910,Washington,530,Pierce,530,Pierce,122
1910,Washington,530,San Juan,550,San Juan,41
1910,Washington,530,Skagit,570,Skagit,135
1910,Washington,530,Skamania,590,Skamania,57
1910,Washington,530,Snohomish,610,Snohomish,100
1910,Washington,530,Spokane,630,Spokane,64
1910,Washington,530,Stevens,650,Stevens,32
1910,Washington,530,Thurston,670,Thurston,45
1910,Washington,530,Wahkiakum,690,Wahkiakum,42
1910,Washington,530,Walla Walla,710,Walla Walla,48
1910,Washington,530,Whatcom,730,Whatcom,88
1910,Washington,530,Whitman,750,Whitman,50
1910,Washington,530,Yakima,770,Yakima,138
1920,Arizona,40,Apache,10,Apache,5
1920,Arizona,40,Cochise,30,Cochise,9
1920,Arizona,40,Coconino,50,Coconino,15
1920,Arizona,40,Gila,70,Gila,39
1920,Arizona,40,Graham,90,Graham,51
1920,Arizona,40,Greenlee,110,Greenlee,119
1920,Arizona,40,Maricopa,130,Maricopa,114
1920,Arizona,40,Mohave,150,Mohave,26
1920,Arizona,40,Navajo,170,Navajo,12
1920,Arizona,40,Pima,190,Pima,17
1920,Arizona,40,Pinal,210,Pinal,42
1920,Arizona,40,Santa Cruz,230,Santa Cruz,14
1920,Arizona,40,Yavapai,250,Yavapai,10
1920,Arizona,40,Yuma,270,Yuma,247
1920,California,60,Alameda,10,Alameda,142
1920,California,60,Alpine,30,Alpine,47
1920,California,60,Amador,50,Amador,20
1920,California,60,Butte,70,Butte,102
1920,California,60,Calaveras,90,Calaveras,19
1920,California,60,Colusa,110,Colusa,84
1920,California,60,Contra Costa,130,Contra Costa,114
1920,California,60,Del Norte,150,Del Norte,66
1920,California,60,El Dorado,170,El Dorado,27
1920,California,60,Fresno,190,Fresno,212
1920,California,60,Glenn,210,Glenn,74
1920,California,60,Humboldt,230,Humboldt,46
1920,California,60,Imperial,250,Imperial,167
1920,California,60,Inyo,270,Inyo,85
1920,California,60,Kern,290,Kern,44
1920,California,60,Kings,310,Kings,119
1920,California,60,Lake,330,Lake,47
1920,California,60,Lassen,350,Lassen,21
1920,California,60,Los Angeles,370,Los Angeles,425
1920,California,60,Madera,390,Madera,65
1920,California,60,Marin,410,Marin,54
1920,California,60,Mariposa,430,Mariposa,17
1920,California,60,Mendocino,450,Mendocino,28
1920,California,60,Merced,470,Merced,78
1920,California,60,Modoc,490,Modoc,28
1920,California,60,Mono,510,Mono,47
1920,California,60,Monterey,530,Monterey,48
1920,California,60,Napa,550,Napa,89
1920,California,60,Nevada,570,Nevada,21
1920,California,60,Orange,590,Orange,517
1920,California,60,Placer,610,Placer,87
1920,California,60,Plumas,630,Plumas,33
1920,California,60,Riverside,650,Riverside,131
1920,California,60,Sacramento,670,Sacramento,144
1920,California,60,San Benito,690,San Benito,54
1920,California,60,San Bernardino,710,San Bernardino,224
1920,California,60,San Diego,730,San Diego,62
1920,California,60,San Francisco,750,San Francisco,1202
1920,California,60,San Joaquin,770,San Joaquin,181
1920,California,60,San Luis Obispo,790,San Luis Obispo,38
1920,California,60,San Mateo,810,San Mateo,143
1920,California,60,Santa Barbara,830,Santa Barbara,71
1920,California,60,Santa Clara,850,Santa Clara,241
1920,California,60,Santa Cruz,870,Santa Cruz,170
1920,California,60,Shasta,890,Shasta,22
1920,California,60,Sierra,910,Sierra,24
1920,California,60,Siskiyou,930,Siskiyou,29
1920,California,60,Solano,950,Solano,108
1920,California,60,Sonoma,970,Sonoma,132
1920,California,60,Stanislaus,990,Stanislaus,129
1920,California,60,Sutter,1010,Sutter,157
1920,California,60,Tehama,1030,Tehama,25
1920,California,60,Trinity,1050,Trinity,16
1920,California,60,Tulare,1070,Tulare,167
1920,California,60,Tuolumne,1090,Tuolumne,17
1920,California,60,Ventura,1110,Ventura,237
1920,California,60,Yolo,1130,Yolo,149
1920,California,60,Yuba,1150,Yuba,53
1920,Colorado,80,Adams,10,Adams,60
1920,Colorado,80,Alamosa,30,Alamosa,26
1920,Colorado,80,Arapahoe,50,Arapahoe,50
1920,Colorado,80,Archuleta,70,Archuleta,20
1920,Colorado,80,Baca,90,Baca,12
1920,Colorado,80,Bent,110,Bent,33
1920,Colorado,80,Boulder,130,Boulder,106
1920,Colorado,80,Chaffee,150,Chaffee,49
1920,Colorado,80,Cheyenne,170,Cheyenne,31
1920,Colorado,80,Clear Creek,190,Clear Creek,36
1920,Colorado,80,Conejos,210,Conejos,50
1920,Colorado,80,Costilla,230,Costilla,14
1920,Colorado,80,Crowley,250,Crowley,42
1920,Colorado,80,Custer,270,Custer,16
1920,Colorado,80,Delta,290,Delta,85
1920,Colorado,80,Denver,310,Denver,725
1920,Colorado,80,Dolores,330,Dolores,13
1920,Colorado,80,Douglas,350,Douglas,29
1920,Colorado,80,Eagle,370,Eagle,52
1920,Colorado,80,Elbert,390,Elbert,27
1920,Colorado,80,El Paso,410,El Paso,24
1920,Colorado,80,Fremont,430,Fremont,27
1920,Colorado,80,Garfield,450,Garfield,53
1920,Colorado,80,Gilpin,470,Gilpin,13
1920,Colorado,80,Grand,490,Grand,28
1920,Colorado,80,Gunnison,510,Gunnison,35
1920,Colorado,80,Hinsdale,530,Hinsdale,33
1920,Colorado,80,Huerfano,550,Huerfano,18
1920,Colorado,80,Jackson,570,Jackson,24
1920,Colorado,80,Jefferson,590,Jefferson,77
1920,Colorado,80,Kiowa,610,Kiowa,19
1920,Colorado,80,Kit Carson,630,Kit Carson,28
1920,Colorado,80,Lake,650,Lake,17
1920,Colorado,80,La Plata,670,La Plata,24
1920,Colorado,80,Larimer,690,Larimer,54
1920,Colorado,80,Las Animas,710,Las Animas,11
1920,Colorado,80,Lincoln,730,Lincoln,20
1920,Colorado,80,Logan,750,Logan,48
1920,Colorado,80,Mesa,770,Mesa,69
1920,Colorado,80,Mineral,790,Mineral,21
1920,Colorado,80,Moffat,810,Moffat,18
1920,Colorado,80,Montezuma,830,Montezuma,29
1920,Colorado,80,Montrose,850,Montrose,63
1920,Colorado,80,Morgan,870,Morgan,50
1920,Colorado,80,Otero,890,Otero,60
1920,Colorado,80,Ouray,910,Ouray,26
1920,Colorado,80,Park,930,Park,15
1920,Colorado,80,Phillips,950,Phillips,70
1920,Colorado,80,Pitkin,970,Pitkin,40
1920,Colorado,80,Prowers,990,Prowers,32
1920,Colorado,80,Pueblo,1010,Pueblo,28
1920,Colorado,80,Rio Blanco,1030,Rio Blanco,26
1920,Colorado,80,Rio Grande,1050,Rio Grande,87
1920,Colorado,80,Routt,1070,Routt,30
1920,Colorado,80,Saguache,1090,Saguache,25
1920,Colorado,80,San Miguel,1130,San Miguel,17
1920,Colorado,80,Sedgwick,1150,Sedgwick,55
1920,Colorado,80,Summit,1170,Summit,28
1920,Colorado,80,Teller,1190,Teller,13
1920,Colorado,80,Washington,1210,Washington,30
1920,Colorado,80,Weld,1230,Weld,64
1920,Colorado,80,Yuma,1250,Yuma,33
1920,Nevada,320,Churchill,10,Churchill,63
1920,Nevada,320,Clark,30,Clark,77
1920,Nevada,320,Douglas,50,Douglas,45
1920,Nevada,320,Elko,70,Elko,22
1920,Nevada,320,Esmeralda,90,Esmeralda,35
1920,Nevada,320,Eureka,110,Eureka,17
1920,Nevada,320,Humboldt,130,Humboldt,14
1920,Nevada,320,Lander,150,Lander,14
1920,Nevada,320,Lincoln,170,Lincoln,34
1920,Nevada,320,Lyon,190,Lyon,51
1920,Nevada,320,Mineral,210,Mineral,37
1920,Nevada,320,Nye,230,Nye,25
1920,Nevada,320,Ormsby,250,Ormsby,55
1920,Nevada,320,Pershing,270,Pershing,38
1920,Nevada,320,Storey,290,Storey,67
1920,Nevada,320,Washoe,310,Washoe,33
1920,Nevada,320,White Pine,330,White Pine,28
1920,New Mexico,350,Bernalillo,10,Bernalillo,27
1920,New Mexico,350,Chaves,50,Chaves,8
1920,New Mexico,350,Colfax,70,Colfax,10
1920,New Mexico,350,Curry,90,Curry,19
1920,New Mexico,350,De Baca,110,De Baca,4
1920,New Mexico,350,Dona Ana,130,Dona Ana,42
1920,New Mexico,350,Eddy,150,Eddy,11
1920,New Mexico,350,Grant,170,Grant,10
1920,New Mexico,350,Guadalupe,190,Guadalupe,5
1920,New Mexico,350,Hidalgo,230,Hidalgo,6
1920,New Mexico,350,Lea,250,Lea,5
1920,New Mexico,350,Lincoln,270,Lincoln,11
1920,New Mexico,350,Luna,290,Luna,7
1920,New Mexico,350,McKinley,310,Mckinley,10
1920,New Mexico,350,Mora,330,Mora,10
1920,New Mexico,350,Otero,350,Otero,11
1920,New Mexico,350,Quay,370,Quay,7
1920,New Mexico,350,Rio Arriba,390,Rio Arriba,14
1920,New Mexico,350,Roosevelt,410,Roosevelt,7
1920,New Mexico,350,Sandoval,430,Sandoval,21
1920,New Mexico,350,San Juan,450,San Juan,41
1920,New Mexico,350,San Miguel,470,San Miguel,10
1920,New Mexico,350,Santa Fe,490,Santa Fe,8
1920,New Mexico,350,Sierra,510,Sierra,8
1920,New Mexico,350,Socorro,530,Socorro,5
1920,New Mexico,350,Taos,550,Taos,33
1920,New Mexico,350,Torrance,570,Torrance,7
1920,New Mexico,350,Union,590,Union,11
1920,New Mexico,350,Valencia,610,Valencia,4
1920,Oregon,410,Baker,10,Baker,42
1920,Oregon,410,Benton,30,Benton,67
1920,Oregon,410,Clackamas,50,Clackamas,122
1920,Oregon,410,Clatsop,70,Clatsop,103
1920,Oregon,410,Columbia,90,Columbia,81
1920,Oregon,410,Coos,110,Coos,56
1920,Oregon,410,Crook,130,Crook,16
1920,Oregon,410,Curry,150,Curry,33
1920,Oregon,410,Deschutes,170,Deschutes,35
1920,Oregon,410,Douglas,190,Douglas,41
1920,Oregon,410,Gilliam,210,Gilliam,25
1920,Oregon,410,Grant,230,Grant,12
1920,Oregon,410,Harney,250,Harney,19
1920,Oregon,410,Hood River,270,Hood River,331
1920,Oregon,410,Jackson,290,Jackson,65
1920,Oregon,410,Jefferson,310,Jefferson,14
1920,Oregon,410,Josephine,330,Josephine,69
1920,Oregon,410,Klamath,350,Klamath,32
1920,Oregon,410,Lake,370,Lake,17
1920,Oregon,410,Lane,390,Lane,62
1920,Oregon,410,Lincoln,410,Lincoln,33
1920,Oregon,410,Linn,430,Linn,71
1920,Oregon,410,Malheur,450,Malheur,41
1920,Oregon,410,Marion,470,Marion,126
1920,Oregon,410,Morrow,490,Morrow,22
1920,Oregon,410,Multnomah,510,Multnomah,260
1920,Oregon,410,Polk,530,Polk,106
1920,Oregon,410,Sherman,550,Sherman,50
1920,Oregon,410,Tillamook,570,Tillamook,109
1920,Oregon,410,Umatilla,590,Umatilla,72
1920,Oregon,410,Union,610,Union,54
1920,Oregon,410,Wallowa,630,Wallowa,34
1920,Oregon,410,Wasco,650,Wasco,28
1920,Oregon,410,Washington,670,Washington,152
1920,Oregon,410,Wheeler,690,Wheeler,13
1920,Oregon,410,Yamhill,710,Yamhill,118
1920,Texas,480,Anderson,10,Anderson,29
1920,Texas,480,Andrews,30,Andrews,7
1920,Texas,480,Angelina,50,Angelina,24
1920,Texas,480,Aransas,70,Aransas,8
1920,Texas,480,Archer,90,Archer,33
1920,Texas,480,Armstrong,110,Armstrong,25
1920,Texas,480,Atascosa,130,Atascosa,35
1920,Texas,480,Austin,150,Austin,46
1920,Texas,480,Bailey,170,Bailey,15
1920,Texas,480,Bandera,190,Bandera,12
1920,Texas,480,Bastrop,210,Bastrop,36
1920,Texas,480,Baylor,230,Baylor,30
1920,Texas,480,Bee,250,Bee,23
1920,Texas,480,Bell,270,Bell,89
1920,Texas,480,Bexar,290,Bexar,60
1920,Texas,480,Blanco,310,Blanco,16
1920,Texas,480,Borden,330,Borden,11
1920,Texas,480,Bosque,350,Bosque,41
1920,Texas,480,Bowie,370,Bowie,45
1920,Texas,480,Brazoria,390,Brazoria,46
1920,Texas,480,Brazos,410,Brazos,37
1920,Texas,480,Brewster,430,Brewster,4
1920,Texas,480,Briscoe,450,Briscoe,30
1920,Texas,480,Brooks,470,Brooks,16
1920,Texas,480,Brown,490,Brown,31
1920,Texas,480,Burleson,510,Burleson,43
1920,Texas,480,Burnet,530,Burnet,22
1920,Texas,480,Caldwell,550,Caldwell,81
1920,Texas,480,Calhoun,570,Calhoun,39
1920,Texas,480,Callahan,590,Callahan,33
1920,Texas,480,Cameron,610,Cameron,73
1920,Texas,480,Camp,630,Camp,53
1920,Texas,480,Carson,650,Carson,28
1920,Texas,480,Cass,670,Cass,31
1920,Texas,480,Castro,690,Castro,23
1920,Texas,480,Chambers,710,Chambers,16
1920,Texas,480,Cherokee,730,Cherokee,36
1920,Texas,480,Childress,750,Childress,38
1920,Texas,480,Clay,770,Clay,41
1920,Texas,480,Cochran,790,Cochran,4
1920,Texas,480,Coke,810,Coke,12
1920,Texas,480,Coleman,830,Coleman,32
1920,Texas,480,Collin,850,Collin,168
1920,Texas,480,Collingsworth,870,Collingsworth,34
1920,Texas,480,Colorado,890,Colorado,34
1920,Texas,480,Comal,910,Comal,27
1920,Texas,480,Comanche,930,Comanche,41
1920,Texas,480,Concho,950,Concho,20
1920,Texas,480,Cooke,970,Cooke,70
1920,Texas,480,Coryell,990,Coryell,43
1920,Texas,480,Cottle,1010,Cottle,26
1920,Texas,480,Crane,1030,Crane,5
1920,Texas,480,Crockett,1050,Crockett,7
1920,Texas,480,Crosby,1070,Crosby,38
1920,Texas,480,Culberson,1090,Culberson,5
1920,Texas,480,Dallam,1110,Dallam,16
1920,Texas,480,Dallas,1130,Dallas,187
1920,Texas,480,Dawson,1150,Dawson,20
1920,Texas,480,Deaf Smith,1170,Deaf Smith,19
1920,Texas,480,Delta,1190,Delta,176
1920,Texas,480,Denton,1210,Denton,94
1920,Texas,480,DeWitt,1230,De Witt,61
1920,Texas,480,Dickens,1250,Dickens,21
1920,Texas,480,Dimmit,1270,Dimmit,26
1920,Texas,480,Donley,1290,Donley,35
1920,Texas,480,Duval,1310,Duval,21
1920,Texas,480,Eastland,1330,Eastland,28
1920,Texas,480,Ector,1350,Ector,8
1920,Texas,480,Edwards,1370,Edwards,10
1920,Texas,480,Ellis,1390,Ellis,180
1920,Texas,480,El Paso,1410,El Paso,35
1920,Texas,480,Erath,1430,Erath,31
1920,Texas,480,Falls,1450,Falls,91
1920,Texas,480,Fannin,1470,Fannin,127
1920,Texas,480,Fayette,1490,Fayette,51
1920,Texas,480,Fisher,1510,Fisher,33
1920,Texas,480,Floyd,1530,Floyd,54
1920,Texas,480,Foard,1550,Foard,25
1920,Texas,480,Fort Bend,1570,Fort Bend,60
1920,Texas,480,Franklin,1590,Franklin,59
1920,Texas,480,Freestone,1610,Freestone,33
1920,Texas,480,Frio,1630,Frio,19
1920,Texas,480,Gaines,1650,Gaines,8
1920,Texas,480,Galveston,1670,Galveston,40
1920,Texas,480,Garza,1690,Garza,14
1920,Texas,480,Gillespie,1710,Gillespie,24
1920,Texas,480,Glasscock,1730,Glasscock,8
1920,Texas,480,Goliad,1750,Goliad,40
1920,Texas,480,Gonzales,1770,Gonzales,45
